,facility_id,facility_name,facility_type,capacity_type,capacity_count,region,license_issue_date,inspection_date,gps_location,remarks
9021,83cb1d,Fox-Ltd (st.),community health centre,unknown,389,St. Michael,2024-11-25 00:00:00,2019-11-20 00:00:00,-59.17664;13.00727,unknown
9023,2401da,Logan-Huffman 🏥✨,hospital,bed,389,St. John,2023-06-08 00:00:00,2020-03-09 00:00:00,"-58.95232, 12.92346",Loved it
9024,HF-6961,Gibson-Perez,unknown,unknown,unknown,St. George,2022-03-06 00:00:00,2024-11-04 00:00:00,POINT(-59.02570 12.72992),Loved it
9026,e31aaa,Green-Schultz Polyclinic (christ),polyclinic,unknown,385,Christ Church,2016-11-21 00:00:00,2022-03-12 00:00:00,POINT(-58.74124 12.82233),Follow-up 2023
9028,HF-6963,"Hanson-Simon
NewLine",polyclinic,unknown,478,St. Andrew,2021-09-08 00:00:00,2018-08-02 00:00:00,"-59.29812, 13.17905",Loved it
9030,06964,"Clayton, Mcgrath and Riggs Medical Center (St.)",unknown,bed,10,St. Lucy,2020-12-28 00:00:00,2024-04-27 00:00:00,"12.80649, -59.22314",Loved it
9031,06965,Palmer-Baker Hospital,community health centre,unknown,74,St. Peter,2017-10-12 00:00:00,2022-10-02 00:00:00,-59.23051;13.29610,Needs upgrade
9032,6966,Willis PLC Polyclinic (ST.),community health centre,unknown,unknown,St. James,2017-12-27 00:00:00,2022-09-22 00:00:00,-59.13440;13.23371,Loved it
9034,#6968,Chung-Mora Health Centre,community health centre,bed,202,St. Lucy,2016-05-19 00:00:00,2019-02-08 00:00:00,13°17′0″N 58°56′31″W, 
9035,06969,Lynn-Nichols Hospital (St.),unknown,bed,10,St. Jospeh,2022-08-10 00:00:00,2020-03-23 00:00:00,13°8′57″N 58°42′29″W,Needs upgrade
9036,#6970,Carter-Porter 🏥 (reteP),community health centre,unknown,57,St. Peter,2025-01-11 00:00:00,2021-02-07 00:00:00,"13.06900, -59.16449",Follow-up 2023
9038,e3b95f,Davis-Wilson Hospital,unknown,unknown,unknown,St. Michael,2020-06-27 00:00:00,2020-12-29 00:00:00,-59.20468;13.00180,none
9040,5ad872,Torres-Beck Medical Center,polyclinic,unknown,176,St. Michael,2025-03-20 00:00:00,2025-01-03 00:00:00,unknown,Needs upgrade
9041,HF-6974,Reeves PLC Health Centre,unknown,unknown,101,Christ Church,2017-08-08 00:00:00,2025-04-11 00:00:00,-59.24173;13.01146,Good
9042,HF-6975,Brown LLC,community health centre,unknown,77,St. John,2023-05-04 00:00:00,2022-02-27 00:00:00,"-58.73262, 12.71511",Reinspection due
9048,#6978,"Jones, Lee and Garcia Medical Center (St.)",hospital,cot,102,St. Peter,2024-08-17 00:00:00,2025-09-29 00:00:00,-59.06376;13.05987,unknown
9049,bd77a1,"Boyle, Griffin and Gonzales 🏥 (St.)",unknown,bed,10,St. Andrew,2019-05-08 00:00:00,2019-12-23 00:00:00,unknown,Needs upgrade
9052,6981,Rodriguez Inc 🏥,hospital,bed,205,St. Andrew,2025-04-19 00:00:00,2021-01-13 00:00:00,unknown,Follow-up 2023
9054,1afe0c,"Burton, Hess and Jackson (St.)",unknown,bed,185,St. Michael,2025-11-29 00:00:00,2019-10-16 00:00:00,12°59′29″N 58°44′12″W,Good
9056,08822a,Brown PLC Polyclinic (St.Joseph)💊,community health centre,unknown,unknown,St. Jospeh,2022-03-28 00:00:00,2023-11-25 00:00:00,unknown,Loved it
9058,06985,Gardner-Aguilar Health Centre,community health centre,bed,343,St. Peter,2016-10-30 00:00:00,2022-05-18 00:00:00,"12.99516, -59.04993",Reinspection due
9060,06986,"Johnson, Hill and Wagner",community health centre,unknown,111,St. Peter,2024-02-23 00:00:00,2025-11-22 00:00:00,POINT(-59.17535 12.91037),Good
9063,6988,Pearson PLC Hospital,community health centre,unknown,unknown,St. Michael,2024-02-06 00:00:00,2022-03-25 00:00:00,"12.86727, -59.15714",Follow-up 2023
9064,fa07ed,Reynolds-Wheeler Polyclinic,polyclinic,unknown,221,St. James,2022-12-10 00:00:00,2023-09-04 00:00:00,POINT(-58.73325 12.71159), 
9069,HF-6993,"Lewis, Robinson and Mitchell Medical Center",community health centre,unknown,unknown,St. Lucy,2021-09-20 00:00:00,2019-09-26 00:00:00,12°55′54″N 59°6′33″W,Needs upgrade
9070,HF-6994,Parsons Ltd Health Centre (st.),clinic,unknown,483,St. John,2023-04-05 00:00:00,2018-09-03 00:00:00,"12.94277, -59.13947",Follow-up 2023
9072,HF-6995,Martinez-Moore Infirmary,community health centre,unknown,31,St. Lucy,2025-11-07 00:00:00,2023-11-16 00:00:00,unknown,Good
9073,799597,"Cruz, Wells and Rodriguez Hospital (St)",community health centre,unknown,461,St. Peter,2021-11-21 00:00:00,2023-06-22 00:00:00,"-58.83535, 12.83811",unknown
9076,6998,"Carr,-Leblanc-and-Chapman Clinic",community health centre,unknown,367,St. Andrew,2024-07-26 00:00:00,2020-05-03 00:00:00,-58.87101;13.06274,Loved it
9078,06999,"Wolfe, Keller and Wright Infirmary (St)",polyclinic,unknown,32,St. Lucy,2023-10-03 00:00:00,2022-07-06 00:00:00,-59.13615;12.93484,Loved it
9080,#7001,"Ramos,-Boyd-and-Bates Hospital",unknown,unknown,unknown,St. Michael,2023-12-05 00:00:00,2021-08-01 00:00:00,12°44′48″N 59°7′16″W,Needs upgrade
9082,07003,Simpson-Hill 🏥,polyclinic,unknown,unknown,St. Andrew,2018-07-10 00:00:00,2025-01-16 00:00:00,12°52′12″N 58°59′28″W,Good
9088,7008,"Myers, Hart and Martinez (St.)",community health centre,bed,69,St. Michael,2025-04-09 00:00:00,2020-06-08 00:00:00,12°52′37″N 58°56′54″W,Follow-up 2023
9089,#7009,Hubbard and Sons Clinic,unknown,bed,110,Christ Church,2021-01-10 00:00:00,2025-06-17 00:00:00,"12.74710, -59.27998",none
9090,07010,"Peterson, George and Roach Infirmary",community health centre,unknown,unknown,St. James,2020-01-30 00:00:00,2020-06-21 00:00:00,12°56′55″N 58°54′33″W,Reinspection due
9092,#7011,Ramirez-Mercer Hosp. (st.),clinic,unknown,unknown,St. Peter,2022-01-25 00:00:00,2021-10-30 00:00:00,"-59.28225, 12.85599", 
9093,07012,"Navarro LLC Hospital
NewLine",clinic,bed,300,St. John,2021-06-22 00:00:00,2020-09-10 00:00:00,"-58.70644, 12.95275",Follow-up 2023
9094,#7013,Smith-LLC Health Centre (St),clinic,bed,22,St. Jospeh,2021-11-04 00:00:00,2023-06-12 00:00:00,POINT(-58.74615 13.09866),Loved it
9096,7014,Mitchell Ltd Infirmary,community health centre,bed,254,St. Lucy,2019-09-03 00:00:00,2022-12-22 00:00:00,unknown,Reinspection due
9097,07015,Randall-Cunningham Health Centre (Christ),community health centre,unknown,236,Christ Church,2023-10-20 00:00:00,2021-01-02 00:00:00,POINT(-59.08145 12.81432),Loved it
9098,HF-7016,Hernandez LLC Health Centre,unknown,bed,299,St. Jospeh,2020-07-02 00:00:00,2022-07-06 00:00:00,unknown,unknown
9099,#7017,Davis-Beltran 🏥 (St),community health centre,bed,243,St. John,2024-08-25 00:00:00,2019-04-24 00:00:00,-58.89052;13.27875,Loved it
9104,9a005d,Lynch-Ltd (St.),polyclinic,bed,452,St. Jospeh,2025-09-19 00:00:00,2021-01-07 00:00:00,12°51′52″N 59°1′59″W,Good
9105,00e9b1,"Jones Inc Polyclinic
NewLine",community health centre,bed,474,St. Andrew,2025-06-06 00:00:00,2019-01-02 00:00:00,POINT(-58.79365 12.85312),Good
9106,HF-7022,Williams Inc Hosp. (St.),hospital,unknown,unknown,St. Jospeh,2024-05-12 00:00:00,2023-08-20 00:00:00,-58.77439;13.25209,unknown
9107,07023,Nelson LLC Infirmary (St.),polyclinic,unknown,unknown,St. Peter,2017-03-07 00:00:00,2023-08-20 00:00:00,"12.82310, -59.05171",unknown
9109,153e41,Flowers-Campbell,clinic,bed,316,St. Peter,2022-09-15 00:00:00,2025-02-21 00:00:00,"13.24892, -59.07264", 
9111,7026,Hill PLC Infirmary,clinic,unknown,unknown,St. James,2016-04-18 00:00:00,2024-03-17 00:00:00,-58.98276;13.05667,Reinspection due
9113,HF-7027,"Mayer, Smith and Harper 🏥",clinic,unknown,330,St. George,2022-03-06 00:00:00,2018-06-02 00:00:00,unknown,unknown
9114,b441ae,Campbell Group Hospital,clinic,unknown,141,St. Michael,2022-01-04 00:00:00,2025-01-26 00:00:00,POINT(-59.15936 13.00005),Reinspection due
9115,07029,"Gonzales, Black and Cortez Polyclinic (nhoJ)",community health centre,unknown,139,St. John,2016-09-06 00:00:00,2023-07-02 00:00:00,"13.19648, -58.70304",Reinspection due
9116,07030,"Knapp, Morris and Werner Hospital",hospital,unknown,unknown,Christ Church,2018-10-11 00:00:00,2023-12-26 00:00:00,unknown, 
9119,07032,Jordan LLC 🏥,community health centre,unknown,unknown,St. Jospeh,2021-04-03 00:00:00,2024-04-18 00:00:00,"12.71479, -58.83286",none
9122,HF-7034,Baker Group Clinic (Christ),community health centre,cot,367,Christ Church,2018-04-20 00:00:00,2022-06-15 00:00:00,"13.10412, -58.73749",unknown
9124,7036,"Turner,-Haley-and-Smith Clinic (ST.)",community health centre,unknown,unknown,St. George,2022-11-11 00:00:00,2023-03-01 00:00:00,unknown,Good
9127,07038,Koch-Hill Infirmary,hospital,unknown,153,St. Andrew,2021-05-02 00:00:00,2024-09-14 00:00:00,12°52′45″N 59°11′15″W,Reinspection due
9128,7afe7b,"Wagner, Grant and Charles Polyclinic",community health centre,unknown,unknown,St. George,2017-11-28 00:00:00,2022-07-18 00:00:00,12°52′47″N 58°51′23″W,none
9130,67fa2f,Howard Ltd,polyclinic,cot,497,St. Jospeh,2025-03-01 00:00:00,2021-12-25 00:00:00,"-59.22363, 12.95694",unknown
9134,7042,Conrad-Ramirez Medical Center,clinic,bed,93,St. Peter,2016-11-29 00:00:00,2020-10-21 00:00:00,12°57′6″N 59°6′29″W,none
9136,07043,"Freeman, Trujillo and Taylor Infirmary",clinic,bed,333,St. John,2020-08-08 00:00:00,2021-01-04 00:00:00,unknown,Follow-up 2023
9140,7046,"Jordan, Reed and Murray Hospital (St.)",unknown,bed,55,St. Andrew,2021-11-05 00:00:00,2020-08-30 00:00:00,unknown,Loved it
9141,1d2ceb,Castro Inc Hospital,community health centre,bed,366,St. George,2025-01-18 00:00:00,2023-10-24 00:00:00,"-58.72978, 12.75617",Needs upgrade
9142,HF-7048,Anderson-Lewis,hospital,bed,110,St. Michael,2019-11-22 00:00:00,2018-11-03 00:00:00,13°3′53″N 59°7′6″W,unknown
9143,#7049,"Reed-Ltd (St)
NewLine",polyclinic,unknown,unknown,St. Peter,2022-07-18 00:00:00,2025-05-08 00:00:00,-58.98340;13.19716,Loved it
9146,#7051,Mack-Drake Infirmary✨,community health centre,unknown,481,St. John,2018-10-02 00:00:00,2023-12-08 00:00:00,"12.73474, -59.17041",Good
9148,7052,Vargas-Lopez Hosp.,polyclinic,unknown,unknown,St. Michael,2019-10-20 00:00:00,2020-01-01 00:00:00,unknown, 
9149,HF-7053,Walker-Fields Infirmary (Christ),community health centre,unknown,unknown,Christ Church,2023-04-20 00:00:00,2018-12-22 00:00:00,"-59.19958, 12.90891",Needs upgrade
9151,988296,"Allen, Simmons and Thompson Medical Center (reteP)",unknown,unknown,unknown,St. Peter,2020-03-01 00:00:00,2020-12-07 00:00:00,POINT(-58.80428 13.12024),Good
9152,HF-7055,Burton-Vaughn Clinic (St.),community health centre,unknown,unknown,St. Peter,2018-06-10 00:00:00,2018-11-13 00:00:00,-58.70808;13.25899,Needs upgrade
9157,6fb3da,Jones PLC Medical Center (Christ),unknown,unknown,unknown,Christ Church,2016-07-15 00:00:00,2021-09-29 00:00:00,unknown,Reinspection due
9159,#7060,"Willis, Cook and Haley Clinic",clinic,unknown,283,St. Michael,2022-07-12 00:00:00,2024-09-13 00:00:00,unknown,none
9160,7061,"Reed, Alvarado and Mitchell Hospital (St.)",unknown,bed,10,St. Michael,2016-07-02 00:00:00,2024-08-12 00:00:00,-58.87679;12.77002, 
9163,07063,Castro-Patel 🏥 (ChristChurch),clinic,unknown,44,Christ Church,2025-09-26 00:00:00,2021-10-08 00:00:00,unknown,none
9164,HF-7064,Burke-Hood Health Centre,polyclinic,bed,10,Christ Church,2017-08-01 00:00:00,2020-02-17 00:00:00,unknown,unknown
9165,#7065,"Sanchez, Mckinney and Hall Hospital (CHRIST)",community health centre,cot,226,Christ Church,2020-08-20 00:00:00,2024-04-12 00:00:00,12°51′13″N 59°4′11″W,Good
9166,HF-7066,Nelson-Sutton Infirmary (Christ)💊,polyclinic,unknown,unknown,Christ Church,unknown,2022-03-13 00:00:00,unknown,Follow-up 2023
9167,6a666e,Richardson-Sims Hospital,community health centre,unknown,unknown,St. George,2016-01-03 00:00:00,2023-03-19 00:00:00,"-58.90907, 13.10687",unknown
9169,187496,"Whitney, Williams and Holmes Polyclinic",hospital,bed,10,St. Andrew,2025-03-31 00:00:00,2024-05-28 00:00:00,POINT(-59.08324 12.94312),Needs upgrade
9170,#7069,Ayers-Graham Medical Center,clinic,bed,413,Christ Church,2017-03-07 00:00:00,2018-07-01 00:00:00,POINT(-59.07713 13.23501),Reinspection due
9174,HF-7071,Ruiz and Sons,hospital,unknown,unknown,St. James,2025-09-07 00:00:00,2023-02-27 00:00:00,POINT(-59.10755 12.71413),Loved it
9175,HF-7072,Lynch-Phelps Medical Center (Christ),unknown,bed,69,Christ Church,2022-07-01 00:00:00,2020-10-18 00:00:00,"13.25710, -59.17835",Loved it
9176,HF-7073,Wilson-Brown,hospital,unknown,unknown,Christ Church,2020-03-25 00:00:00,2020-04-11 00:00:00,13°1′11″N 58°57′1″W,unknown
9177,07074,Berry-Ltd Hosp. (ST.),community health centre,unknown,unknown,St. Andrew,2021-09-03 00:00:00,2018-07-29 00:00:00,unknown,Needs upgrade
9179,#7075,King-Stevens Clinic,hospital,unknown,333,St. Andrew,2019-12-30 00:00:00,2021-02-28 00:00:00,"12.75044, -58.70877",Good
9180,c34aec,Daugherty Group Hosp.,clinic,bed,350,Christ Church,unknown,2019-07-17 00:00:00,"12.86844, -58.98641",unknown
9181,#7077,Daniels-Shepard 🏥,unknown,cot,271,St. Lucy,2025-08-25 00:00:00,2021-12-28 00:00:00,-59.19380;13.03144,Follow-up 2023
9188,07081,Lin Inc 🏥,unknown,bed,301,St. George,2020-09-05 00:00:00,unknown,-58.77942;12.93672,unknown
9189,07082,Adkins-Jones Hospital,community health centre,bed,60,St. James,2021-09-04 00:00:00,2019-03-12 00:00:00,"12.92201, -58.84548",none
9190,7083,Crawford PLC (st.),polyclinic,bed,392,St. James,2021-07-08 00:00:00,2020-09-01 00:00:00,13°10′57″N 58°47′51″W,Reinspection due
9192,7084,"Butler-Ayala Hosp.
NewLine",hospital,unknown,71,Christ Church,2017-02-11 00:00:00,2019-10-09 00:00:00,-59.24003;13.21058,Needs upgrade
9194,fc998e,Johnson and Sons Health Centre,polyclinic,unknown,144,St. Michael,2020-12-26 00:00:00,2021-01-29 00:00:00,unknown,Needs upgrade
9195,#7086,Sampson-Camacho Hospital,hospital,unknown,unknown,Christ Church,2021-02-05 00:00:00,2019-12-13 00:00:00,unknown,Needs upgrade
9196,HF-7087,Tate-Bruce Clinic©,community health centre,unknown,270,St. George,2021-04-06 00:00:00,2023-04-10 00:00:00,-58.89206;13.11003,Follow-up 2023
9197,#7088,Johnson-Ward,hospital,unknown,unknown,St. Michael,2022-11-13 00:00:00,2020-12-19 00:00:00,"-59.10636, 12.74243",Reinspection due
9199,HF-7089,"Fry,-Smith-and-Hill Hospital💊",unknown,bed,10,St. Peter,2017-01-28 00:00:00,2025-07-08 00:00:00,"-58.86400, 12.88049",none
9201,HF-7091,Gomez-Jackson,clinic,unknown,unknown,St. John,2023-03-07 00:00:00,2022-01-29 00:00:00,"-59.10450, 12.82405",none
9203,HF-7092,Ibarra Group Hospital,unknown,bed,10,St. Jospeh,2018-11-05 00:00:00,2021-06-26 00:00:00,"12.73562, -58.92728",unknown
9205,#7093,Shields PLC Health Centre,community health centre,unknown,unknown,St. James,2024-11-03 00:00:00,2019-04-06 00:00:00,"13.12286, -59.20379",none
9206,7094,Evans and Sons,unknown,unknown,unknown,St. Peter,2017-05-25 00:00:00,2024-08-19 00:00:00,12°43′23″N 59°15′29″W,Reinspection due
9207,7095,Odonnell PLC Hosp.,community health centre,unknown,34,St. James,2024-03-11 00:00:00,2023-07-23 00:00:00,"12.97804, -58.96602",Reinspection due
9209,HF-7096,Howard LLC Infirmary (St),polyclinic,cot,391,St. George,2025-02-26 00:00:00,2021-03-20 00:00:00,POINT(-59.24024 12.96090),unknown
9211,7097,"Martin-Fox
NewLine",community health centre,unknown,unknown,St. John,2022-05-01 00:00:00,2021-02-19 00:00:00,"-58.77114, 13.05180",Loved it
9212,#7098,Garner-PLC,community health centre,unknown,301,St. Peter,2023-07-26 00:00:00,2018-02-18 00:00:00,POINT(-59.04474 12.87690),unknown
9213,#7099,Avery PLC,unknown,unknown,232,St. George,2024-03-05 00:00:00,2020-08-04 00:00:00,-59.02038;12.71291,none
9216,07101,"Johnson, Cox and Weeks Polyclinic©",hospital,bed,58,St. Lucy,2016-02-19 00:00:00,2023-12-14 00:00:00,-58.82546;13.07778,Reinspection due
9219,7efcee,Reyes and Sons Hospital©,community health centre,unknown,unknown,St. Peter,2025-11-26 00:00:00,2019-12-20 00:00:00,"-59.15570, 12.89897",Good
9220,HF-7104,"Davis, Davis and Lindsey Health Centre",community health centre,unknown,337,St. Andrew,2017-10-21 00:00:00,2023-04-12 00:00:00,-59.18116;12.86465,Follow-up 2023
9222,#7106,Mcgee Inc Clinic (ST.),polyclinic,bed,10,St. John,2024-09-25 00:00:00,2023-03-04 00:00:00,"-58.74248, 13.21382",unknown
9225,24534f,"Smith, Mclaughlin and Lane💊",community health centre,bed,10,St. Lucy,2017-10-25 00:00:00,2020-07-29 00:00:00,unknown,Needs upgrade
9228,7112,Love-Williams Hospital,community health centre,unknown,unknown,St. Lucy,2023-01-05 00:00:00,2023-01-01 00:00:00,unknown,Good
9231,7114,"Marquez, Hines and Hickman Medical Center",unknown,unknown,unknown,St. Lucy,2016-07-18 00:00:00,2021-08-26 00:00:00,"-58.79620, 13.24475",Reinspection due
9232,#7115,Graham-Jones 🏥,community health centre,unknown,unknown,St. Jospeh,2019-02-22 00:00:00,2019-12-31 00:00:00,-59.26978;13.02373,Needs upgrade
9233,07116,"Allen, Williams and Rivers (St.)",polyclinic,bed,10,St. George,2016-11-18 00:00:00,2018-06-19 00:00:00,"-59.02729, 13.14811",Good
9234,3efd4f,Cannon-Kerr Clinic,clinic,unknown,54,St. Michael,2023-06-26 00:00:00,2022-11-22 00:00:00,unknown, 
9236,7119,"Powell, Hawkins and Prince Health Centre (ST.)",unknown,unknown,259,St. Michael,2025-01-06 00:00:00,2020-10-23 00:00:00,unknown,unknown
9237,#7120,Bond Inc Hosp. (ST.),clinic,unknown,unknown,St. George,2020-01-13 00:00:00,2018-11-09 00:00:00,-58.88537;12.80149,Reinspection due
9238,7121,Smith LLC Health Centre (St.),hospital,unknown,unknown,St. George,2019-10-23 00:00:00,2022-12-18 00:00:00,unknown,unknown
9239,7122,Bond-Nguyen,polyclinic,unknown,373,St. Andrew,2016-05-17 00:00:00,2021-02-17 00:00:00,"-59.11845, 13.08916",Needs upgrade
9241,7124,Wood Inc,community health centre,bed,10,St. Michael,2016-12-23 00:00:00,2021-08-13 00:00:00,13°16′12″N 58°46′39″W,Good
9243,07126,Andersen-Roman (St.),community health centre,unknown,unknown,St. George,2016-12-31 00:00:00,2021-02-17 00:00:00,POINT(-59.07348 12.81370),Good
9244,07127,Young-Green (St.Michael),clinic,bed,476,St. Michael,2020-07-01 00:00:00,2020-05-14 00:00:00,"-59.16588, 12.79427",unknown
9249,HF-7130,Parker-Thompson Medical Center,community health centre,bed,10,St. Michael,2017-09-25 00:00:00,2025-03-29 00:00:00,-59.11234;12.90715,Needs upgrade
9251,7131,Mullins LLC,community health centre,unknown,unknown,St. Michael,2021-06-27 00:00:00,2024-01-19 00:00:00,-59.16798;12.80307,none
9252,7132,Garcia-Wright Medical Center,polyclinic,bed,49,St. George,2019-09-22 00:00:00,2022-06-03 00:00:00,unknown,Follow-up 2023
9254,#7133,"Spence,-Johnson-and-Bradley 🏥",unknown,bed,479,St. James,2023-08-03 00:00:00,2025-09-03 00:00:00,12°53′46″N 59°2′19″W,Needs upgrade
9255,7134,Brewer-Garcia,polyclinic,bed,375,Christ Church,2019-05-31 00:00:00,2018-04-18 00:00:00,-59.07357;12.90580, 
9256,07135,Macdonald PLC Infirmary,hospital,unknown,unknown,St. Lucy,2018-01-05 00:00:00,2022-09-06 00:00:00,13°7′49″N 58°59′50″W,none
9257,HF-7136,"Simmons,-Smith-and-Herring Hospital (CHRIST)",clinic,bed,107,Christ Church,2023-10-05 00:00:00,2021-07-16 00:00:00,POINT(-58.91105 13.17979),none
9259,HF-7137,"Ramirez, Crawford and Salinas Clinic",polyclinic,bed,355,St. Andrew,2017-11-08 00:00:00,2024-10-12 00:00:00,"12.73121, -59.19862",unknown
9260,07138,"Cooper,-Moore-and-Shields Clinic",community health centre,unknown,unknown,St. Michael,2023-09-07 00:00:00,2024-12-18 00:00:00,POINT(-58.78121 12.79056), 
9262,77f6b7,"Stevenson, Salinas and Jones Hospital (St.)",community health centre,bed,109,St. Lucy,2022-12-29 00:00:00,2018-09-18 00:00:00,"12.77940, -58.98595",unknown
9263,#7140,"Chambers,-Johnson-and-Valentine💊",clinic,unknown,unknown,St. Jospeh,2019-09-28 00:00:00,2019-07-24 00:00:00,unknown,Needs upgrade
9267,df7f3a,Riley-Burgess,clinic,unknown,230,St. James,2020-11-22 00:00:00,2020-09-07 00:00:00,"-58.72936, 13.07754", 
9269,07143,"Turner, Blair and Morton 🏥",polyclinic,unknown,unknown,Christ Church,2021-08-11 00:00:00,2025-09-05 00:00:00,unknown,Loved it
9270,HF-7144,Lewis-Snow,community health centre,bed,369,St. Lucy,unknown,2020-03-09 00:00:00,13°15′32″N 58°59′56″W,unknown
9271,HF-7145,Fowler Group Hosp. (St.Lucy),clinic,unknown,unknown,St. Lucy,2016-10-15 00:00:00,2022-03-31 00:00:00,13°14′16″N 59°2′15″W,Reinspection due
9273,#7146,Higgins-Henry Polyclinic (St.),community health centre,unknown,unknown,St. Andrew,2024-02-01 00:00:00,2022-07-20 00:00:00,POINT(-59.16681 12.90868),none
9277,07149,May-Adams Medical Center (St.George)💊,community health centre,unknown,unknown,St. George,2016-03-31 00:00:00,2020-02-11 00:00:00,"-58.96977, 12.88947",unknown
9278,7150,Simpson-Torres Hospital,community health centre,bed,306,St. Jospeh,2017-12-01 00:00:00,2021-12-28 00:00:00,POINT(-59.07506 13.08532),unknown
9279,HF-7151,Aguilar-Parker Medical Center💊,polyclinic,bed,10,St. Peter,2018-02-07 00:00:00,2018-04-28 00:00:00,"-58.78491, 12.93028",Reinspection due
9281,#7153,"Watson, Peterson and Bullock",unknown,unknown,473,St. George,2020-09-06 00:00:00,2024-06-17 00:00:00,"13.06548, -58.83050",Follow-up 2023
9287,07157,"Ross, Romero and Dickson 🏥 (St.James)",community health centre,bed,10,St. James,2024-03-31 00:00:00,2025-05-25 00:00:00,"12.93412, -59.11030",unknown
9289,HF-7159,Wallace-Miller,community health centre,bed,91,Christ Church,2020-05-25 00:00:00,2022-02-01 00:00:00,12°53′37″N 59°16′22″W,Needs upgrade
9295,HF-7163,"Coleman-Mcpherson 🏥
NewLine",community health centre,cot,457,St. Peter,2020-09-18 00:00:00,2022-05-28 00:00:00,POINT(-59.29532 13.27073),Reinspection due
9296,7164,Villarreal-Graves,hospital,bed,10,St. Jospeh,2018-05-11 00:00:00,2020-09-29 00:00:00,POINT(-59.04322 13.14947),Follow-up 2023
9297,7165,"Ross, Wagner and Riddle Clinic",community health centre,cot,396,St. Peter,2025-02-26 00:00:00,2023-05-26 00:00:00,12°56′53″N 59°10′24″W,Follow-up 2023
9298,#7166,"Blair, Burke and Shaw Medical Center",community health centre,unknown,unknown,St. James,2019-12-03 00:00:00,2023-09-29 00:00:00,-58.71640;12.70466,Follow-up 2023
9300,7168,"Ellis, Horne and Hawkins Health Centre",polyclinic,unknown,unknown,St. Lucy,2024-07-05 00:00:00,2019-06-27 00:00:00,12°46′15″N 58°43′45″W,Needs upgrade
9301,HF-7169,"Walsh, Jones and Stewart Hospital",community health centre,unknown,341,St. Peter,2019-01-02 00:00:00,2019-06-07 00:00:00,-58.82023;12.91815,Reinspection due
9303,07170,"Figueroa,-Decker-and-Henderson 🏥 (ST.)",clinic,unknown,36,St. James,unknown,2023-12-26 00:00:00,-58.83094;13.02890,unknown
9304,07171,"Hunt, Christian and Davidson Medical Center (St.)",polyclinic,unknown,44,St. Peter,2016-10-18 00:00:00,2020-02-11 00:00:00,POINT(-59.27319 12.89779),Follow-up 2023
9305,HF-7172,Hoffman LLC Infirmary,hospital,unknown,unknown,St. John,2016-10-25 00:00:00,2019-05-20 00:00:00,POINT(-58.70276 13.11945),none
9306,0c7e64,Walker-Mitchell Medical Center,unknown,bed,3,St. Jospeh,2022-07-01 00:00:00,2020-02-02 00:00:00,POINT(-59.29474 13.25074),Reinspection due
9307,bc1833,Jackson and Sons Clinic,hospital,unknown,7,St. Peter,2017-04-01 00:00:00,2020-11-26 00:00:00,"12.85024, -59.16547",unknown
9308,86ca38,Scott-Barajas Clinic,community health centre,unknown,unknown,St. Michael,2016-10-22 00:00:00,2019-07-20 00:00:00,unknown,Reinspection due
9309,7176,Gamble-Thomas Hosp. (ST.),hospital,bed,210,St. Michael,2021-11-16 00:00:00,2021-09-17 00:00:00,unknown, 
9310,07177,"Fox, Hernandez and Lewis",polyclinic,unknown,unknown,St. Andrew,2017-09-04 00:00:00,2025-07-21 00:00:00,"13.00331, -58.82091",Loved it
9312,5b1ccb,"Washington, Larson and Anderson (St.)",unknown,cot,413,St. Andrew,2018-08-16 00:00:00,2023-01-26 00:00:00,POINT(-59.01271 13.15721), 
9314,7179,Williams-Diaz Clinic,community health centre,bed,481,St. Peter,2018-01-11 00:00:00,2022-06-22 00:00:00,"-58.88617, 13.28878",unknown
9316,HF-7181,"Reynolds, Lloyd and Stein Polyclinic",community health centre,unknown,unknown,St. James,2019-01-13 00:00:00,2024-06-15 00:00:00,-58.77451;12.72417,Needs upgrade
9318,121dae,"Garrett, Hanson and White Infirmary",hospital,unknown,unknown,Christ Church,2022-02-01 00:00:00,2022-08-09 00:00:00,"13.11228, -59.02041",Reinspection due
9321,HF-7184,"Howard, Tucker and Rocha Infirmary (leahciM)",community health centre,unknown,222,St. Michael,2021-11-21 00:00:00,2020-12-23 00:00:00,-59.04773;13.22906, 
9323,#7186,Lewis Group Polyclinic,community health centre,bed,28,St. Michael,2024-04-10 00:00:00,2018-01-03 00:00:00,"-59.17314, 12.81489",Good
9325,7187,Price-Meyer Clinic (st.),polyclinic,bed,10,St. Jospeh,2019-09-22 00:00:00,2022-01-19 00:00:00,unknown,Good
9327,b79c07,Ibarra-Richmond Medical Center (Christ),polyclinic,unknown,unknown,Christ Church,2018-12-05 00:00:00,2021-10-01 00:00:00,"13.28870, -58.83440",Follow-up 2023
9331,07190,"Martin, Barker and Johnson Infirmary",hospital,unknown,192,St. James,2017-03-28 00:00:00,2021-01-31 00:00:00,-59.16062;12.73196,unknown
9333,7191,Gutierrez LLC Hosp. (St.),community health centre,unknown,46,St. George,2023-03-24 00:00:00,2018-12-24 00:00:00,"-59.11876, 12.75810",unknown
9337,7194,Ortiz Inc,community health centre,cot,440,St. Andrew,2023-04-08 00:00:00,2022-01-25 00:00:00,"12.85646, -58.99989",unknown
